SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,712 Dryden Dr,Baltimore,MD,21229,339000,5,3.5,Hunting Ridge,2704,7492,1925,1,125,,Active,,,http://www.redfin.com/MD/Baltimore/712-Dryden-Dr-21229/home/11219149,MRIS,BA10234086,N,Y,39.296506,-76.6984929
MLS Listing,,Townhouse,132 Clement St,Baltimore,MD,21230,284990,2,2.0,Federal Hill,1128,,1900,6,253,,Active,,,http://www.redfin.com/MD/Baltimore/132-E-Clement-St-21230/home/11016181,MRIS,BA10225072,N,Y,39.2738552,-76.6108199
MLS Listing,,Townhouse,123 Burnett St,Baltimore,MD,21230,274999,2,2.0,Federal Hill,1384,,1898,26,199,,Active,,,http://www.redfin.com/MD/Baltimore/123-Burnett-St-21230/home/11010146,MRIS,BA10205742,N,Y,39.2740106,-76.6167269
MLS Listing,,Townhouse,1342 Towson St,Baltimore,MD,21230,435000,3,4.5,Locust Point,2250,871,2007,46,193,,Active,,,http://www.redfin.com/MD/Baltimore/1342-Towson-St-21230/home/11024572,MRIS,BA10188394,N,Y,39.270551,-76.591506
MLS Listing,,Townhouse,124 Hamburg St W,Baltimore,MD,21230,199000,2,1.0,Federal Hill,1190,,1875,61,167,,Active,,,http://www.redfin.com/MD/Baltimore/124-W-Hamburg-St-21230/home/11008433,MRIS,BA10175371,N,Y,39.2778944,-76.6165068
MLS Listing,,Condo/Co-op,657 Washington Blvd Unit B,Baltimore,MD,21230,329000,2,2.5,Ridleys Delight,1454,,2005,70,226,300,Active,,,http://www.redfin.com/MD/Baltimore/657-Washington-Blvd-21230/unit-B/home/11223435,MRIS,BA10166115,N,Y,39.2837969,-76.6252511
MLS Listing,,Townhouse,3104 Elliott St,Baltimore,MD,21224,325000,3,2.5,Canton,2006,,1900,83,162,,Active,,,http://www.redfin.com/MD/Baltimore/3104-Elliott-St-21224/home/10733885,MRIS,BA10156306,N,Y,39.279459,-76.5722207
Redfin Data,,Single Family Residential,523 Nottingham Rd,Baltimore,MD,21229,415000,5,2.5,Baltimore,2487,17197,1913,7,167,,Pre On-Market,,,http://www.redfin.com/MD/Baltimore/523-Nottingham-Rd-21229/home/11220493,Coming Soon,12572,N,Y,39.291024,-76.6996261
Redfin Data,,Single Family Residential,510 Old Orchard Rd,Baltimore,MD,21229,424900,4,2.5,Baltimore,3438,22189,1925,14,124,,Pre On-Market,,,http://www.redfin.com/MD/Baltimore/510-Old-Orchard-Rd-21229/home/11220028,Coming Soon,12034,N,Y,39.2901259,-76.7016486
MLS Listing,,Townhouse,11 Bernice Ave,Baltimore,MD,21229,70000,3,1.0,N/a,1280,,1940,1,55,,Active,,,http://www.redfin.com/MD/Baltimore/11-N-Bernice-Ave-21229/home/10992962,MRIS,BA10234281,N,Y,39.2863272,-76.6695272
MLS Listing,,Townhouse,306 Conkling St S,Baltimore,MD,21224,169900,3,2.0,Highlandtown,875,,1920,1,194,,Active,,,http://www.redfin.com/MD/Baltimore/306-S-Conkling-St-21224/home/11080937,MRIS,BA10234272,N,Y,39.2881713,-76.5674377
MLS Listing,,Single Family Residential,5717 Trumps Mill Rd,Baltimore,MD,21206,260000,3,2.5,Kenwood Park,1464,12782,1977,1,178,,Active,,,http://www.redfin.com/MD/Baltimore/5717-Trumps-Mill-Rd-21206/home/9417639,MRIS,BC10233137,N,Y,39.3505612,-76.5021902
MLS Listing,,Vacant Land,Murray Hill Rd,Baltimore,MD,21212,499888,,,Murray Hill,,18731,,1,,6,Active,,,http://www.redfin.com/MD/Baltimore/Murray-Hill-Rd-21212/home/9661187,MRIS,BC10234255,N,Y,39.386046,-76.625969
MLS Listing,,Single Family Residential,6401 Murray Hill Rd,Baltimore,MD,21212,1299000,6,5.0,Murray Hill,3862,35284,1943,1,336,6,Active,,,http://www.redfin.com/MD/Baltimore/6401-Murray-Hill-Rd-21212/home/9662990,MRIS,BC10234220,N,Y,39.383352,-76.628532
